gender,age,married,number_of_dependents,latitude,longitude,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,has_refunded,has_extra_data_charges,total_long_distance_charges,total_revenue,customer_status
Male,"(18, 25]",No,0,34.231053,-118.338307,0,61,Offer B,Yes,45.69,Yes,Yes,Fiber Optic,48.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,104.0,6363.45,No,No,2787.09,9150.54,Stayed
Male,"(55, 65]",No,0,36.667794,-121.601306,0,52,Offer B,Yes,32.02,Yes,Yes,DSL,28.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,85.15,4461.85,No,No,1665.04,6126.89,Stayed
Female,"(25, 35]",Yes,1+,39.258746,-121.77697,2+,69,Offer A,No,25.584371102988605,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,46.25,3121.4,No,No,0.0,3121.4,Stayed
Male,"(35, 45]",Yes,1+,33.818477,-118.038307,2+,68,Offer A,Yes,34.13,No,Yes,DSL,25.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,72.95,4953.25,No,No,2320.84,7274.09,Stayed
Male,"(45, 55]",Yes,0,39.178337,-120.162806,2+,14,Offer D,Yes,22.14,Yes,Yes,DSL,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,66.6,979.5,No,No,309.96,1289.46,Stayed
Male,"(25, 35]",No,0,32.71346,-117.236378,0,7,Offer E,No,25.584371102988605,No,Yes,DSL,48.0,No,No,Yes,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.5,249.55,No,No,0.0,249.55,Stayed
Female,"(65, 100]",No,0,32.673483,-116.472863,0,2,Offer E,Yes,9.55,No,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.2,115.95,No,No,19.1,135.05,Churned
Male,"(45, 55]",Yes,1+,37.246064,-121.749494,2+,51,Offer B,Yes,16.85,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,24.95,1222.25,No,No,859.35,2081.6,Stayed
Female,"(65, 100]",Yes,0,37.605926,-120.69955,1,4,Offer E,Yes,18.91,Yes,Yes,Fiber Optic,20.0,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.6,347.65,Yes,No,75.64,397.5,Churned
Male,"(18, 25]",Yes,1+,37.786031,-122.437301,2+,15,Offer D,Yes,46.47,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,19.35,278.85,No,No,697.05,975.9,Stayed
Female,"(18, 25]",Yes,0,33.507255,-117.029473,2+,72,Offer A,Yes,11.85,Yes,Yes,Fiber Optic,82.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,109.15,7789.6,No,No,853.2,8642.8,Stayed
Male,"(25, 35]",Yes,0,37.497915,-122.267361,1,50,Offer B,Yes,17.58,Yes,Yes,Fiber Optic,47.0,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.4,4914.9,No,No,879.0,5793.9,Stayed
Female,"(65, 100]",Yes,0,34.291273,-118.505104,1,57,Offer B,Yes,23.05,Yes,Yes,Fiber Optic,30.0,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,94.0,5438.95,No,No,1313.85,6752.8,Stayed
Female,"(45, 55]",Yes,0,34.278697,-119.167798,2+,44,Offer B,Yes,32.72,Yes,Yes,Fiber Optic,6.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,95.1,4060.55,No,No,1439.68,5500.23,Stayed
Female,"(35, 45]",Yes,1+,38.736685,-121.251984,2+,62,Offer B,Yes,13.25,Yes,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.8,6840.95,No,No,821.5,7662.45,Stayed
Female,"(65, 100]",No,0,33.936827,-118.359824,0,14,Offer D,Yes,35.07,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.3,1096.25,No,No,490.98,1587.23,Churned
Female,"(35, 45]",No,0,34.133809,-117.523724,0,7,Offer E,Yes,3.34,No,Yes,Cable,13.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,78.5,571.05,No,No,23.38,594.43,Stayed
Female,"(45, 55]",Yes,0,40.181279,-120.392967,1,72,Offer A,Yes,39.74,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.75,7751.7,No,No,2861.28,10612.98,Stayed
Male,"(65, 100]",Yes,0,34.137742,-114.36514,2+,72,Offer A,No,25.584371102988605,Yes,Yes,Cable,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,63.1,4685.55,No,No,0.0,4685.55,Stayed
Female,"(55, 65]",No,0,32.961064,-117.134917,0,3,Offer E,Yes,26.52,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.1,270.7,No,No,79.56,350.26,Churned
Female,"(45, 55]",No,0,32.770393,-115.60915,0,32,Offer C,Yes,43.8,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,19.75,624.15,No,No,1401.6,2025.75,Stayed
Female,"(65, 100]",Yes,0,39.432127,-121.099287,2+,71,Offer A,Yes,22.0,No,Yes,Fiber Optic,27.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,99.2,7213.75,No,No,1562.0,8775.75,Stayed
Male,"(65, 100]",Yes,0,37.666587,-120.411517,2+,60,Offer B,Yes,10.4,Yes,Yes,Fiber Optic,5.0,No,No,No,Yes,Yes,Yes,No,No,Two Year,Yes,Bank Withdrawal,99.0,6017.9,No,Yes,624.0,6791.9,Stayed
Female,"(55, 65]",No,0,37.106902,-122.100006,0,4,Offer E,Yes,31.13,Yes,Yes,DSL,15.0,No,No,No,No,No,No,No,Yes,Two Year,No,Mailed Check,48.75,179.85,No,No,124.52,304.37,Stayed
Male,"(25, 35]",Yes,0,38.578807,-123.19338,1,52,Offer B,Yes,8.94,Yes,Yes,Fiber Optic,85.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.65,5088.4,Yes,No,464.88,5541.48,Stayed
Female,"(35, 45]",No,0,34.050322,-118.147037,0,29,Offer C,Yes,14.46,No,Yes,DSL,25.0,Yes,No,Yes,Yes,No,No,No,Yes,One Year,No,Credit Card,58.0,1734.5,No,No,419.34,2153.84,Stayed
Male,"(18, 25]",Yes,0,39.562239,-121.14836,2+,49,Offer B,Yes,33.93,No,Yes,Fiber Optic,27.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,99.25,4920.8,No,No,1662.57,6583.37,Stayed
Male,"(18, 25]",Yes,1+,34.101608,-118.055848,2+,40,Offer B,No,25.584371102988605,Yes,Yes,DSL,26.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,60.3,2448.5,No,No,0.0,2448.5,Stayed
Female,"(35, 45]",Yes,0,39.955587,-123.681175,2+,57,Offer B,Yes,3.72,Yes,Yes,Fiber Optic,11.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,100.75,5985.0,No,No,212.04,6197.04,Stayed
Female,"(18, 25]",Yes,1+,37.410236,-121.320337,2+,62,Offer B,Yes,36.54,Yes,Yes,DSL,41.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,70.45,4300.45,No,No,2265.48,6565.93,Stayed
Male,"(45, 55]",Yes,0,32.636792,-117.054989,2+,23,Offer D,Yes,16.63,No,Yes,Fiber Optic,22.0,No,Yes,Yes,Yes,No,No,No,No,One Year,No,Credit Card,86.8,1940.8,No,Yes,382.49,2413.29,Stayed
Female,"(18, 25]",Yes,0,37.781304,-122.461522,1,65,Offer B,Yes,1.29,No,Yes,DSL,51.0,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,71.0,4386.2,No,No,83.85,4470.05,Stayed
Female,"(25, 35]",No,0,34.711224,-114.702256,0,38,Offer C,Yes,41.63,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.05,741.5,No,No,1581.94,2323.44,Stayed
Female,"(65, 100]",Yes,0,40.789799,-121.474529,2+,48,Offer B,Yes,43.04,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,117.45,5438.9,No,No,2065.92,7504.82,Churned
Male,"(55, 65]",Yes,0,34.360261,-119.306383,2+,72,Offer A,Yes,22.01,Yes,Yes,DSL,5.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,82.15,5784.3,No,No,1584.72,7369.02,Stayed
Male,"(25, 35]",Yes,0,41.816595,-122.948287,2+,28,Offer C,Yes,21.91,No,Yes,Fiber Optic,5.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,76.55,2065.4,No,No,613.48,2678.88,Stayed
Male,"(65, 100]",No,0,33.902045,-118.008961,0,65,Offer B,Yes,4.4,Yes,Yes,Fiber Optic,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.05,7108.2,Yes,No,286.0,7359.53,Stayed
Male,"(35, 45]",No,0,41.950683,-124.097094,0,10,Offer D,No,25.584371102988605,No,Yes,DSL,30.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,33.9,298.45,No,No,0.0,298.45,Churned
Female,"(35, 45]",Yes,0,36.600193,-120.153393,1,16,Offer D,Yes,31.73,No,Yes,Fiber Optic,25.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,89.45,1430.25,No,No,507.68,1937.93,Churned
Female,"(25, 35]",Yes,1+,33.194742,-117.29032,1,72,Offer A,No,25.584371102988605,Yes,Yes,Cable,59.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,55.65,3880.05,No,No,0.0,3880.05,Stayed
Female,"(45, 55]",Yes,0,36.793601,-119.761131,2+,12,Offer D,No,25.584371102988605,No,Yes,DSL,27.0,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Credit Card,33.15,444.75,No,No,0.0,444.75,Stayed
Female,"(25, 35]",Yes,1+,35.809921,-119.127437,1,1,Offer E,Yes,7.49,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.9,19.9,No,No,7.49,27.39,Churned
Female,"(45, 55]",No,0,35.28952,-116.092214,0,26,Offer C,No,25.584371102988605,No,Yes,Cable,29.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,44.45,1183.8,No,No,0.0,1183.8,Stayed
Female,"(35, 45]",No,0,36.413433,-118.854708,0,20,Offer D,Yes,38.74,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,19.5,403.15,No,No,774.8,1177.95,Stayed
Female,"(45, 55]",No,0,41.599978,-122.539381,0,7,Offer E,Yes,7.32,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.3,144.95,No,No,51.24,196.19,Stayed
Female,"(45, 55]",Yes,0,32.85723,-117.209774,1,38,Offer C,Yes,42.14,No,Yes,DSL,19.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,80.3,3058.65,No,No,1601.32,4659.97,Churned
Male,"(65, 100]",Yes,0,37.654551,-119.822984,2+,23,Offer D,Yes,31.53,No,Yes,Fiber Optic,20.0,Yes,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.0,2024.1,No,No,725.19,2749.29,Stayed
Male,"(45, 55]",Yes,0,37.441931,-121.878502,2+,67,Offer A,Yes,46.89,No,Yes,Fiber Optic,29.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.05,7321.05,No,No,3141.63,10462.68,Stayed
Female,"(55, 65]",No,0,36.008958,-118.891593,0,48,Offer B,Yes,23.76,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,24.55,1203.95,Yes,No,1140.48,2308.39,Stayed
Male,"(35, 45]",No,0,37.834341,-122.26437,0,64,Offer B,Yes,45.82,Yes,Yes,Fiber Optic,14.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.4,6692.65,No,No,2932.48,9625.13,Stayed
Female,"(35, 45]",No,0,34.505273,-117.955054,0,32,Offer C,Yes,14.21,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.05,3416.85,No,No,454.72,3871.57,Stayed
Female,"(45, 55]",Yes,0,33.720359,-117.733655,1,57,Offer B,Yes,36.65,No,Yes,DSL,7.0,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,70.1,3913.3,No,No,2089.05,6002.35,Churned
Male,"(35, 45]",Yes,1+,38.848082,-123.50608,2+,51,Offer B,Yes,9.5,Yes,Yes,Fiber Optic,51.0,No,Yes,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,84.2,4299.75,Yes,No,484.5,4744.57,Stayed
Male,"(25, 35]",No,0,34.147149,-118.463365,0,16,Offer D,Yes,5.74,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.7,342.4,No,No,91.84,434.24,Churned
Female,"(35, 45]",No,0,33.782955,-118.026456,0,48,Offer B,Yes,34.96,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,25.05,1171.5,Yes,No,1678.08,2833.2,Stayed
Male,"(55, 65]",No,0,36.732694,-119.783786,0,18,Offer D,Yes,26.26,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.05,388.6,No,No,472.68,861.28,Stayed
Male,"(35, 45]",No,1+,38.748316,-120.675512,0,23,Offer D,No,25.584371102988605,No,Yes,DSL,26.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,No,Credit Card,40.1,857.75,No,No,0.0,857.75,Stayed
Female,"(35, 45]",No,0,37.497915,-122.267361,0,55,Offer B,Yes,3.62,No,Yes,DSL,17.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.55,2832.75,No,No,199.1,3031.85,Stayed
Male,"(45, 55]",Yes,0,35.451402,-119.488413,1,9,Offer E,Yes,17.47,No,Yes,Fiber Optic,6.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,94.85,890.6,No,No,157.23,1047.83,Churned
Male,"(35, 45]",No,0,34.063947,-118.383001,0,27,Offer C,Yes,39.77,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.35,531.6,No,No,1073.79,1605.39,Stayed
Female,"(45, 55]",No,0,37.971751,-122.611873,0,35,Offer C,No,25.584371102988605,No,Yes,DSL,21.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.15,812.5,No,Yes,0.0,852.5,Stayed
Female,"(45, 55]",Yes,1+,38.982373,-122.047751,2+,58,Offer B,Yes,25.86,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,1191.4,Yes,No,1499.88,2654.36,Stayed
Male,"(45, 55]",Yes,0,38.859093,-121.182872,2+,42,Offer B,Yes,41.16,Yes,Yes,Fiber Optic,11.0,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.4,4014.6,No,No,1728.72,5743.32,Stayed
Female,"(55, 65]",Yes,0,33.79499,-118.065591,2+,44,Offer B,Yes,44.87,No,Yes,Cable,20.0,Yes,Yes,Yes,No,No,No,No,No,One Year,Yes,Credit Card,61.5,2722.2,No,Yes,1974.28,4846.48,Stayed
Female,"(25, 35]",Yes,1+,37.03889,-121.528955,2+,43,Offer B,Yes,29.98,No,Yes,Cable,59.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,75.2,3254.35,No,No,1289.14,4543.49,Stayed
Female,"(18, 25]",Yes,0,41.813521,-121.492666,2+,7,Offer E,Yes,41.64,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Mailed Check,-2.0,134.05,No,No,291.48,425.53,Stayed
Female,"(65, 100]",No,0,37.454924,-122.203168,0,28,Offer C,Yes,28.14,Yes,Yes,Fiber Optic,10.0,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,103.3,2890.65,No,No,787.92,3678.57,Churned
Female,"(18, 25]",Yes,1+,41.280478,-121.160249,2+,41,Offer B,Yes,43.19,No,Yes,Fiber Optic,59.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.9,3848.0,No,No,1770.79,5618.79,Stayed
Male,"(45, 55]",No,0,34.186211,-117.07683,0,24,Offer C,Yes,49.3,Yes,Yes,Fiber Optic,20.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.25,1861.5,No,No,1183.2,3044.7,Churned
Female,"(25, 35]",Yes,0,34.001617,-118.222274,1,39,Offer C,Yes,9.51,No,Yes,Fiber Optic,7.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,104.7,4134.85,No,No,370.89,4505.74,Churned
Male,"(45, 55]",Yes,0,39.172777,-121.805845,2+,65,Offer B,Yes,41.2,Yes,Yes,Fiber Optic,10.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.25,6812.95,No,No,2678.0,9490.95,Stayed
Male,"(45, 55]",No,0,34.245289,-117.642503,0,40,Offer B,No,25.584371102988605,Yes,Yes,Cable,12.0,No,Yes,No,Yes,No,No,No,No,One Year,No,Credit Card,36.0,1382.9,No,Yes,0.0,1512.9,Stayed
Female,"(35, 45]",Yes,0,40.198234,-120.18089,2+,46,Offer B,Yes,44.75,No,Yes,DSL,27.0,Yes,Yes,No,Yes,No,Yes,Yes,Yes,One Year,No,Credit Card,70.6,3231.05,No,No,2058.5,5289.55,Stayed
Male,"(18, 25]",No,0,32.886925,-117.152162,0,36,Offer C,Yes,43.97,Yes,Yes,Fiber Optic,42.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,3050.15,No,No,1582.92,4633.07,Churned
Male,"(45, 55]",No,0,32.67117,-117.00232,0,62,Offer B,Yes,48.72,No,Yes,DSL,2.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,4981.15,No,No,3020.64,8001.79,Stayed
Male,"(45, 55]",No,0,32.808814,-117.134694,0,30,Offer C,Yes,32.41,No,Yes,Cable,22.0,Yes,Yes,No,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,70.4,2044.75,No,No,972.3,3017.05,Stayed
Female,"(25, 35]",No,0,34.321621,-118.399841,0,70,Offer A,Yes,17.32,Yes,Yes,Fiber Optic,30.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.65,7939.25,No,No,1212.4,9151.65,Stayed
Male,"(35, 45]",No,0,39.003358,-121.022539,0,5,Offer E,Yes,38.89,Yes,Yes,Fiber Optic,8.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,104.1,541.9,No,No,194.45,736.35,Churned
Male,"(45, 55]",Yes,0,35.280113,-118.962329,2+,24,Offer C,Yes,46.91,Yes,Yes,Fiber Optic,20.0,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,93.0,2248.05,No,Yes,1125.84,3413.89,Stayed
Male,"(45, 55]",No,0,37.306612,-122.080621,0,11,Offer D,Yes,28.62,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.25,208.0,No,No,314.82,522.82,Stayed
Male,"(45, 55]",No,0,33.081478,-117.033814,0,58,Offer B,Yes,32.67,No,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,99.15,5720.95,No,No,1894.86,7615.81,Stayed
Male,"(35, 45]",No,0,33.840524,-118.148403,0,2,Offer E,Yes,46.84,No,Yes,DSL,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.35,81.25,No,No,93.68,174.93,Churned
Male,"(35, 45]",No,0,38.602723,-121.279913,0,8,Offer E,Yes,25.72,No,Yes,Cable,24.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.25,546.45,No,No,205.76,752.21,Stayed
Male,"(65, 100]",No,0,37.343846,-121.039391,0,35,Offer C,Yes,26.19,Yes,Yes,Fiber Optic,19.0,Yes,No,No,No,No,Yes,No,No,Month-to-Month,No,Credit Card,91.0,3180.5,No,Yes,916.65,4137.15,Stayed
Male,"(65, 100]",Yes,0,38.71967,-121.862416,2+,65,Offer B,Yes,8.59,Yes,Yes,Fiber Optic,7.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.35,6578.55,No,No,558.35,7136.9,Stayed
Female,"(55, 65]",Yes,1+,41.465121,-122.380947,2+,68,Offer A,Yes,6.28,No,Yes,DSL,16.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,85.0,5607.75,No,Yes,427.04,6164.79,Stayed
Male,"(55, 65]",No,0,32.886925,-117.152162,0,6,Offer E,Yes,39.32,No,Yes,Fiber Optic,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,523.5,No,No,235.92,759.42,Churned
Male,"(25, 35]",No,0,33.194742,-117.29032,0,46,Offer B,Yes,22.13,Yes,Yes,Fiber Optic,22.0,No,Yes,Yes,No,Yes,No,No,Yes,One Year,Yes,Credit Card,94.9,4422.95,Yes,No,1017.98,5416.85,Stayed
Female,"(55, 65]",Yes,0,33.850504,-118.039892,2+,72,Offer A,Yes,40.59,Yes,Yes,Fiber Optic,25.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,115.15,8349.7,No,No,2922.48,11272.18,Stayed
Female,"(35, 45]",No,0,33.141265,-116.967221,0,62,Offer B,Yes,32.58,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.15,6413.65,No,No,2019.96,8433.61,Churned
Female,"(55, 65]",No,0,36.5276,-119.865999,0,38,Offer C,Yes,4.09,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,20.2,735.9,No,No,155.42,891.32,Stayed
Male,"(18, 25]",No,0,39.00978,-120.978273,0,1,Offer E,Yes,14.58,No,Yes,DSL,73.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,53.5,53.5,No,No,14.58,68.08,Churned
Female,"(18, 25]",No,0,34.04597,-117.011825,0,58,Offer B,Yes,35.55,No,Yes,Fiber Optic,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.3,5817.7,No,No,2061.9,7879.6,Stayed
Male,"(45, 55]",No,0,40.759401,-122.939337,0,17,Offer D,Yes,31.6,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.1,279.5,No,No,537.2,816.7,Stayed
Female,"(65, 100]",Yes,0,38.966713,-123.586412,2+,72,Offer A,Yes,28.72,Yes,Yes,Fiber Optic,25.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.85,8317.95,No,No,2067.84,10385.79,Stayed
Male,"(18, 25]",Yes,0,36.04533,-119.532424,2+,50,Offer B,Yes,14.32,Yes,Yes,Cable,58.0,No,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,69.65,3442.15,No,No,716.0,4158.15,Stayed
Male,"(35, 45]",No,1+,34.278967,-116.773825,0,4,Offer E,Yes,26.04,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.35,219.65,No,No,104.16,323.81,Churned
Male,"(65, 100]",Yes,0,37.972662,-122.491452,2+,8,Offer E,Yes,26.99,No,Yes,Fiber Optic,2.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.45,583.45,No,No,215.92,799.37,Churned
Female,"(65, 100]",Yes,0,36.523619,-119.386868,2+,13,Offer D,Yes,37.86,No,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.15,916.75,No,Yes,492.18,1498.93,Churned
Male,"(55, 65]",Yes,1+,41.599978,-122.539381,1,55,Offer B,Yes,40.94,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.5,1177.95,Yes,No,2251.7,3423.82,Stayed
Female,"(25, 35]",Yes,0,39.141934,-122.770679,2+,71,Offer A,Yes,22.33,Yes,Yes,Cable,71.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,90.1,6310.9,No,No,1585.43,7896.33,Stayed
Female,"(45, 55]",No,0,34.065875,-118.238728,0,37,Offer C,Yes,9.61,No,Yes,Fiber Optic,11.0,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,80.05,3019.1,No,No,355.57,3374.67,Stayed
Male,"(65, 100]",Yes,0,33.766004,-117.786763,1,41,Offer B,Yes,45.04,Yes,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,4534.9,No,No,1846.64,6381.54,Churned
Female,"(35, 45]",Yes,1+,33.818,-117.974404,1,55,Offer B,Yes,8.39,Yes,Yes,DSL,52.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.1,4657.95,No,No,461.45,5119.4,Stayed
Female,"(18, 25]",Yes,1+,33.254497,-117.285879,1,61,Offer B,No,25.584371102988605,Yes,Yes,DSL,59.0,Yes,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,50.7,3088.75,No,Yes,0.0,3108.75,Stayed
Male,"(35, 45]",Yes,1+,33.942895,-117.725644,1,44,Offer B,Yes,37.68,No,Yes,DSL,24.0,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,-7.0,2924.05,No,No,1657.92,4581.97,Stayed
